AAAAMMDD	tMin	tMax	tMoy	djuM	djuC	tag
19990601	15.50	32.70	24.10	0.00	0.35	0
19990602	16.50	31.30	23.90	0.00	0.18	0
19990603	12.50	29.60	21.05	0.00	1.18	0
19990604	13.20	22.30	17.75	0.25	1.45	0
19990605	9.90	24.40	17.15	0.85	2.55	0
19990606	11.10	16.60	13.85	4.15	4.15	0
19990607	10.60	23.00	16.80	1.20	2.45	0
19990608	13.20	20.10	16.65	1.35	1.79	0
19990609	11.00	24.10	17.55	0.45	2.13	0
19990610	13.30	18.20	15.75	2.25	2.27	0
19990611	11.80	24.40	18.10	0.00	1.78	0
19990612	11.30	24.60	17.95	0.05	1.95	0
19990613	10.30	28.20	19.25	0.00	2.01	0
19990614	12.50	18.20	15.35	2.65	2.67	0
19990615	10.90	25.20	18.05	0.00	2.05	0
19990616	14.60	26.30	20.45	0.00	0.69	0
19990617	13.50	27.50	20.50	0.00	0.97	0
19990618	14.00	26.90	20.45	0.00	0.84	0
19990619	12.30	25.60	18.95	0.00	1.48	0
19990620	11.00	24.40	17.70	0.30	2.10	0
19990621	14.80	21.40	18.10	0.00	0.91	0
19990622	10.30	21.80	16.05	1.95	2.78	0
19990623	7.20	25.00	16.10	1.90	3.62	0
19990624	9.80	27.20	18.50	0.00	2.28	0
19990625	11.10	29.80	20.45	0.00	1.62	0
19990626	14.10	26.90	20.50	0.00	0.81	0
19990627	15.10	27.50	21.30	0.00	0.52	0
19990628	13.40	23.80	18.60	0.00	1.22	0
19990629	11.30	26.00	18.65	0.00	1.82	0
19990630	15.00	26.20	20.60	0.00	0.58	0
19990701	12.40	28.50	20.45	0.00	1.27	0
19990702	13.40	31.60	22.50	0.00	0.86	0
19990703	16.60	33.40	25.00	0.00	0.16	0
19990704	17.30	34.00	25.65	0.00	0.07	0
19990705	16.70	28.10	22.40	0.00	0.17	0
19990706	15.80	24.30	20.05	0.00	0.42	0
19990707	15.10	25.50	20.30	0.00	0.57	0
19990708	13.60	26.30	19.95	0.00	0.99	0
19990709	13.90	23.70	18.80	0.00	1.05	0
19990710	12.70	27.20	19.95	0.00	1.24	0
19990711	17.70	25.30	21.50	0.00	0.03	0
19990712	15.20	30.40	22.80	0.00	0.44	0
19990713	18.20	31.00	24.60	0.00	0.00	0
19990714	17.40	25.40	21.40	0.00	0.07	0
19990715	13.00	26.80	19.90	0.00	1.16	0
19990716	12.20	27.20	19.70	0.00	1.41	0
19990717	13.50	29.90	21.70	0.00	0.88	0
19990718	16.40	32.40	24.40	0.00	0.20	0
19990719	16.10	29.50	22.80	0.00	0.27	0
19990720	15.60	30.90	23.25	0.00	0.35	0
19990721	16.80	31.40	24.10	0.00	0.14	0
19990722	16.50	26.20	21.35	0.00	0.22	0
19990723	11.20	24.90	18.05	0.00	1.96	0
19990724	12.30	24.70	18.50	0.00	1.56	0
19990725	11.80	27.90	19.85	0.00	1.50	0
19990726	13.80	30.00	21.90	0.00	0.79	0
19990727	15.80	30.50	23.15	0.00	0.31	0
19990728	18.60	24.90	21.75	0.00	0.00	0
19990729	17.50	27.90	22.70	0.00	0.05	0
19990730	17.40	29.30	23.35	0.00	0.06	0
19990731	15.10	28.20	21.65	0.00	0.50	0
19990801	12.90	28.30	20.60	0.00	1.12	0
19990802	12.90	30.20	21.55	0.00	1.04	0
19990803	18.00	31.00	24.50	0.00	0.00	0
19990804	18.80	23.80	21.30	0.00	0.00	0
19990805	18.00	30.80	24.40	0.00	0.00	0
19990806	18.60	33.30	25.95	0.00	0.00	0
19990807	14.50	29.30	21.90	0.00	0.63	0
19990808	17.40	29.90	23.65	0.00	0.06	0
19990809	16.40	29.70	23.05	0.00	0.21	0
19990810	18.00	26.60	22.30	0.00	0.00	0
19990811	17.60	24.40	21.00	0.00	0.04	0
19990812	15.10	20.10	17.60	0.40	0.94	0
19990813	12.80	24.20	18.50	0.00	1.41	0
19990814	13.00	28.00	20.50	0.00	1.10	0
